date,day,hour,kWh
2022-07-08T04:00:00Z,2022-07-08,4,0.002
2022-07-08T05:00:00Z,2022-07-08,5,0.02
2022-07-08T06:00:00Z,2022-07-08,6,0.009
2022-07-08T07:00:00Z,2022-07-08,7,1.49
2022-07-08T08:00:00Z,2022-07-08,8,1.74
2022-07-08T09:00:00Z,2022-07-08,9,5.65
2022-07-08T10:00:00Z,2022-07-08,10,6.27
2022-07-08T11:00:00Z,2022-07-08,11,9.59
2022-07-08T12:00:00Z,2022-07-08,12,10.78
2022-07-08T13:00:00Z,2022-07-08,13,10.66
2022-07-08T14:00:00Z,2022-07-08,14,9.35
2022-07-08T15:00:00Z,2022-07-08,15,8.66
2022-07-08T16:00:00Z,2022-07-08,16,5.94
2022-07-08T17:00:00Z,2022-07-08,17,2.99
2022-07-08T18:00:00Z,2022-07-08,18,1.06
2022-07-08T19:00:00Z,2022-07-08,19,0.46
2022-07-08T20:00:00Z,2022-07-08,20,0.12
2022-07-08T21:00:00Z,2022-07-08,21,0.005
2022-07-09T04:00:00Z,2022-07-09,4,0.002
2022-07-09T05:00:00Z,2022-07-09,5,0.14
2022-07-09T06:00:00Z,2022-07-09,6,0.44
2022-07-09T07:00:00Z,2022-07-09,7,1.68
2022-07-09T08:00:00Z,2022-07-09,8,4.95
2022-07-09T09:00:00Z,2022-07-09,9,7.21
2022-07-09T10:00:00Z,2022-07-09,10,8.87
2022-07-09T11:00:00Z,2022-07-09,11,10.14
2022-07-09T12:00:00Z,2022-07-09,12,10.2
2022-07-09T13:00:00Z,2022-07-09,13,9.8
2022-07-09T14:00:00Z,2022-07-09,14,5.42
2022-07-09T15:00:00Z,2022-07-09,15,5.35
2022-07-09T16:00:00Z,2022-07-09,16,5.1
2022-07-09T17:00:00Z,2022-07-09,17,2.09
2022-07-09T18:00:00Z,2022-07-09,18,1.09
2022-07-09T19:00:00Z,2022-07-09,19,0.45
2022-07-09T20:00:00Z,2022-07-09,20,0.15
2022-07-09T21:00:00Z,2022-07-09,21,0.001
2022-07-10T04:00:00Z,2022-07-10,4,0
2022-07-10T05:00:00Z,2022-07-10,5,0.14
2022-07-10T06:00:00Z,2022-07-10,6,0.83
2022-07-10T07:00:00Z,2022-07-10,7,1.44
2022-07-10T08:00:00Z,2022-07-10,8,2.24
2022-07-10T09:00:00Z,2022-07-10,9,4.16
2022-07-10T10:00:00Z,2022-07-10,10,8.18
2022-07-10T11:00:00Z,2022-07-10,11,10.07
2022-07-10T12:00:00Z,2022-07-10,12,9.7
2022-07-10T13:00:00Z,2022-07-10,13,10.03
2022-07-10T14:00:00Z,2022-07-10,14,9.86
2022-07-10T15:00:00Z,2022-07-10,15,7.93
2022-07-10T16:00:00Z,2022-07-10,16,5.84
2022-07-10T17:00:00Z,2022-07-10,17,3.07
2022-07-10T18:00:00Z,2022-07-10,18,1.17
2022-07-10T19:00:00Z,2022-07-10,19,0.49
2022-07-10T20:00:00Z,2022-07-10,20,0.18
2022-07-10T21:00:00Z,2022-07-10,21,0.003
2022-07-11T04:00:00Z,2022-07-11,4,0.002
2022-07-11T05:00:00Z,2022-07-11,5,0.08
2022-07-11T06:00:00Z,2022-07-11,6,0.43
2022-07-11T07:00:00Z,2022-07-11,7,2.25
2022-07-11T08:00:00Z,2022-07-11,8,4.86
2022-07-11T09:00:00Z,2022-07-11,9,7.12
2022-07-11T10:00:00Z,2022-07-11,10,8.83
2022-07-11T11:00:00Z,2022-07-11,11,10.05
2022-07-11T12:00:00Z,2022-07-11,12,10.55
2022-07-11T13:00:00Z,2022-07-11,13,10.53
2022-07-11T14:00:00Z,2022-07-11,14,9.77
2022-07-11T15:00:00Z,2022-07-11,15,8.47
2022-07-11T16:00:00Z,2022-07-11,16,6.16
2022-07-11T17:00:00Z,2022-07-11,17,2.72
2022-07-11T18:00:00Z,2022-07-11,18,0.93
2022-07-11T19:00:00Z,2022-07-11,19,0.35
2022-07-11T20:00:00Z,2022-07-11,20,0.13
2022-07-11T21:00:00Z,2022-07-11,21,0.003
2022-07-12T04:00:00Z,2022-07-12,4,7e-4
2022-07-12T05:00:00Z,2022-07-12,5,0.09
2022-07-12T06:00:00Z,2022-07-12,6,0.44
2022-07-12T07:00:00Z,2022-07-12,7,2.21
2022-07-12T08:00:00Z,2022-07-12,8,4.76
2022-07-12T09:00:00Z,2022-07-12,9,6.99
2022-07-12T10:00:00Z,2022-07-12,10,8.63
2022-07-12T11:00:00Z,2022-07-12,11,9.79
2022-07-12T12:00:00Z,2022-07-12,12,10.26
2022-07-12T13:00:00Z,2022-07-12,13,10.22
2022-07-12T14:00:00Z,2022-07-12,14,9.25
2022-07-12T15:00:00Z,2022-07-12,15,8.41
2022-07-12T16:00:00Z,2022-07-12,16,5.99
2022-07-12T17:00:00Z,2022-07-12,17,2.13
2022-07-12T18:00:00Z,2022-07-12,18,0.63
2022-07-12T19:00:00Z,2022-07-12,19,0.42
2022-07-12T20:00:00Z,2022-07-12,20,0.15
2022-07-12T21:00:00Z,2022-07-12,21,7e-4
2022-07-13T04:00:00Z,2022-07-13,4,0.001
2022-07-13T05:00:00Z,2022-07-13,5,0.2
2022-07-13T06:00:00Z,2022-07-13,6,0.75
2022-07-13T07:00:00Z,2022-07-13,7,2.19
2022-07-13T08:00:00Z,2022-07-13,8,3.9
2022-07-13T09:00:00Z,2022-07-13,9,4.64
2022-07-13T10:00:00Z,2022-07-13,10,7.32
2022-07-13T11:00:00Z,2022-07-13,11,9.6
2022-07-13T12:00:00Z,2022-07-13,12,8.78
2022-07-13T13:00:00Z,2022-07-13,13,9.41
2022-07-13T14:00:00Z,2022-07-13,14,9.05
2022-07-13T15:00:00Z,2022-07-13,15,8.53
2022-07-13T16:00:00Z,2022-07-13,16,6.14
2022-07-13T17:00:00Z,2022-07-13,17,2.79
2022-07-13T18:00:00Z,2022-07-13,18,0.97
2022-07-13T19:00:00Z,2022-07-13,19,0.37
2022-07-13T20:00:00Z,2022-07-13,20,0.13
2022-07-13T21:00:00Z,2022-07-13,21,0.001
2022-07-14T04:00:00Z,2022-07-14,4,0
2022-07-14T05:00:00Z,2022-07-14,5,0.09
2022-07-14T06:00:00Z,2022-07-14,6,0.44
2022-07-14T07:00:00Z,2022-07-14,7,2.19
2022-07-14T08:00:00Z,2022-07-14,8,4.78
2022-07-14T09:00:00Z,2022-07-14,9,7.04
2022-07-14T10:00:00Z,2022-07-14,10,8.71
2022-07-14T11:00:00Z,2022-07-14,11,9.87
2022-07-14T12:00:00Z,2022-07-14,12,10.43
2022-07-14T13:00:00Z,2022-07-14,13,10.42
2022-07-14T14:00:00Z,2022-07-14,14,9.68
2022-07-14T15:00:00Z,2022-07-14,15,8.36
2022-07-14T16:00:00Z,2022-07-14,16,6.06
2022-07-14T17:00:00Z,2022-07-14,17,2.7
2022-07-14T18:00:00Z,2022-07-14,18,0.92
2022-07-14T19:00:00Z,2022-07-14,19,0.36
2022-07-14T20:00:00Z,2022-07-14,20,0.13
2022-07-14T21:00:00Z,2022-07-14,21,5e-4
2022-07-15T05:00:00Z,2022-07-15,5,0.08
2022-07-15T06:00:00Z,2022-07-15,6,0.45
2022-07-15T07:00:00Z,2022-07-15,7,2.15
2022-07-15T08:00:00Z,2022-07-15,8,4.69
2022-07-15T09:00:00Z,2022-07-15,9,6.56
2022-07-15T10:00:00Z,2022-07-15,10,8.21
2022-07-15T11:00:00Z,2022-07-15,11,9.79
2022-07-15T12:00:00Z,2022-07-15,12,10.32
2022-07-15T13:00:00Z,2022-07-15,13,7.42
2022-07-15T14:00:00Z,2022-07-15,14,6.61
2022-07-15T15:00:00Z,2022-07-15,15,6.24
2022-07-15T16:00:00Z,2022-07-15,16,6.88
2022-07-15T17:00:00Z,2022-07-15,17,2.2
2022-07-15T18:00:00Z,2022-07-15,18,1.21
2022-07-15T19:00:00Z,2022-07-15,19,0.6
2022-07-15T20:00:00Z,2022-07-15,20,0.16
2022-07-15T21:00:00Z,2022-07-15,21,0
2022-07-16T05:00:00Z,2022-07-16,5,0.08
2022-07-16T06:00:00Z,2022-07-16,6,0.52
2022-07-16T07:00:00Z,2022-07-16,7,2.09
2022-07-16T08:00:00Z,2022-07-16,8,4.59
2022-07-16T09:00:00Z,2022-07-16,9,6.84
2022-07-16T10:00:00Z,2022-07-16,10,8.51
2022-07-16T11:00:00Z,2022-07-16,11,9.78
2022-07-16T12:00:00Z,2022-07-16,12,8.24
2022-07-16T13:00:00Z,2022-07-16,13,7.25
2022-07-16T14:00:00Z,2022-07-16,14,8.26
2022-07-16T15:00:00Z,2022-07-16,15,7.74
2022-07-16T16:00:00Z,2022-07-16,16,6.3
2022-07-16T17:00:00Z,2022-07-16,17,2.74
2022-07-16T18:00:00Z,2022-07-16,18,1.02
2022-07-16T19:00:00Z,2022-07-16,19,0.49
2022-07-16T20:00:00Z,2022-07-16,20,0.1
2022-07-16T21:00:00Z,2022-07-16,21,0
2022-07-17T05:00:00Z,2022-07-17,5,0.08
2022-07-17T06:00:00Z,2022-07-17,6,0.59
2022-07-17T07:00:00Z,2022-07-17,7,1.55
2022-07-17T08:00:00Z,2022-07-17,8,3.68
2022-07-17T09:00:00Z,2022-07-17,9,6.87
2022-07-17T10:00:00Z,2022-07-17,10,8.5
2022-07-17T11:00:00Z,2022-07-17,11,9.85
2022-07-17T12:00:00Z,2022-07-17,12,10.38
2022-07-17T13:00:00Z,2022-07-17,13,10.35
2022-07-17T14:00:00Z,2022-07-17,14,9.59
2022-07-17T15:00:00Z,2022-07-17,15,8.28
2022-07-17T16:00:00Z,2022-07-17,16,6.41
2022-07-17T17:00:00Z,2022-07-17,17,2.89
2022-07-17T18:00:00Z,2022-07-17,18,1.09
2022-07-17T19:00:00Z,2022-07-17,19,0.48
2022-07-17T20:00:00Z,2022-07-17,20,0.09
2022-07-17T21:00:00Z,2022-07-17,21,0
2022-07-18T05:00:00Z,2022-07-18,5,0.04
2022-07-18T06:00:00Z,2022-07-18,6,0.42
2022-07-18T07:00:00Z,2022-07-18,7,1.3
2022-07-18T08:00:00Z,2022-07-18,8,2.57
2022-07-18T09:00:00Z,2022-07-18,9,3.65
2022-07-18T10:00:00Z,2022-07-18,10,7.29
2022-07-18T11:00:00Z,2022-07-18,11,10.05
2022-07-18T12:00:00Z,2022-07-18,12,10.5
2022-07-18T13:00:00Z,2022-07-18,13,9.22
2022-07-18T14:00:00Z,2022-07-18,14,6
2022-07-18T15:00:00Z,2022-07-18,15,7.58
2022-07-18T16:00:00Z,2022-07-18,16,5.92
2022-07-18T17:00:00Z,2022-07-18,17,3.29
2022-07-18T18:00:00Z,2022-07-18,18,0.92
2022-07-18T19:00:00Z,2022-07-18,19,0.34
2022-07-18T20:00:00Z,2022-07-18,20,0.12
2022-07-18T21:00:00Z,2022-07-18,21,0
2022-07-19T05:00:00Z,2022-07-19,5,0.06
2022-07-19T06:00:00Z,2022-07-19,6,0.4
2022-07-19T07:00:00Z,2022-07-19,7,2.1
2022-07-19T08:00:00Z,2022-07-19,8,4.72
2022-07-19T09:00:00Z,2022-07-19,9,7.03
2022-07-19T10:00:00Z,2022-07-19,10,8.78
2022-07-19T11:00:00Z,2022-07-19,11,10.04
2022-07-19T12:00:00Z,2022-07-19,12,10.58
2022-07-19T13:00:00Z,2022-07-19,13,10.58
2022-07-19T14:00:00Z,2022-07-19,14,9.85
2022-07-19T15:00:00Z,2022-07-19,15,8.51
2022-07-19T16:00:00Z,2022-07-19,16,6.13
2022-07-19T17:00:00Z,2022-07-19,17,2.79
2022-07-19T18:00:00Z,2022-07-19,18,0.89
2022-07-19T19:00:00Z,2022-07-19,19,0.32
2022-07-19T20:00:00Z,2022-07-19,20,0.11
2022-07-19T21:00:00Z,2022-07-19,21,2e-4
2022-07-20T05:00:00Z,2022-07-20,5,0.06
2022-07-20T06:00:00Z,2022-07-20,6,0.41
2022-07-20T07:00:00Z,2022-07-20,7,2.06
2022-07-20T08:00:00Z,2022-07-20,8,4.61
2022-07-20T09:00:00Z,2022-07-20,9,6.84
2022-07-20T10:00:00Z,2022-07-20,10,8.5
2022-07-20T11:00:00Z,2022-07-20,11,9.72
2022-07-20T12:00:00Z,2022-07-20,12,10.29
2022-07-20T13:00:00Z,2022-07-20,13,10.25
2022-07-20T14:00:00Z,2022-07-20,14,9.5
2022-07-20T15:00:00Z,2022-07-20,15,8.23
2022-07-20T16:00:00Z,2022-07-20,16,5.83
2022-07-20T17:00:00Z,2022-07-20,17,2.68
2022-07-20T18:00:00Z,2022-07-20,18,0.88
2022-07-20T19:00:00Z,2022-07-20,19,0.33
2022-07-20T20:00:00Z,2022-07-20,20,0.11
2022-07-20T21:00:00Z,2022-07-20,21,0
2022-07-21T05:00:00Z,2022-07-21,5,0.05
2022-07-21T06:00:00Z,2022-07-21,6,0.4
2022-07-21T07:00:00Z,2022-07-21,7,2.08
2022-07-21T08:00:00Z,2022-07-21,8,4.67
2022-07-21T09:00:00Z,2022-07-21,9,6.75
2022-07-21T10:00:00Z,2022-07-21,10,8.61
2022-07-21T11:00:00Z,2022-07-21,11,4.54
2022-07-21T12:00:00Z,2022-07-21,12,8.83
2022-07-21T13:00:00Z,2022-07-21,13,8.24
2022-07-21T14:00:00Z,2022-07-21,14,8.16
2022-07-21T15:00:00Z,2022-07-21,15,7.07
2022-07-21T16:00:00Z,2022-07-21,16,6.25
2022-07-21T17:00:00Z,2022-07-21,17,2.88
2022-07-21T18:00:00Z,2022-07-21,18,0.63
2022-07-21T19:00:00Z,2022-07-21,19,0.33
2022-07-21T20:00:00Z,2022-07-21,20,0.1
2022-07-21T21:00:00Z,2022-07-21,21,0
2022-07-22T05:00:00Z,2022-07-22,5,0.05
2022-07-22T06:00:00Z,2022-07-22,6,0.37
2022-07-22T07:00:00Z,2022-07-22,7,1.86
2022-07-22T08:00:00Z,2022-07-22,8,4.36
2022-07-22T09:00:00Z,2022-07-22,9,6.52
2022-07-22T10:00:00Z,2022-07-22,10,8.25
2022-07-22T11:00:00Z,2022-07-22,11,9.39
2022-07-22T12:00:00Z,2022-07-22,12,10.1
2022-07-22T13:00:00Z,2022-07-22,13,10.12
2022-07-22T14:00:00Z,2022-07-22,14,9.39
2022-07-22T15:00:00Z,2022-07-22,15,7.65
2022-07-22T16:00:00Z,2022-07-22,16,5.89
2022-07-22T17:00:00Z,2022-07-22,17,1.86
2022-07-22T18:00:00Z,2022-07-22,18,1.05
2022-07-22T19:00:00Z,2022-07-22,19,0.92
2022-07-22T20:00:00Z,2022-07-22,20,0.17
2022-07-23T05:00:00Z,2022-07-23,5,0.08
2022-07-23T06:00:00Z,2022-07-23,6,0.36
2022-07-23T07:00:00Z,2022-07-23,7,1.36
2022-07-23T08:00:00Z,2022-07-23,8,0.81
2022-07-23T09:00:00Z,2022-07-23,9,2.64
2022-07-23T10:00:00Z,2022-07-23,10,1.83
2022-07-23T11:00:00Z,2022-07-23,11,9.63
2022-07-23T12:00:00Z,2022-07-23,12,9.49
2022-07-23T13:00:00Z,2022-07-23,13,8.75
2022-07-23T14:00:00Z,2022-07-23,14,7.78
2022-07-23T15:00:00Z,2022-07-23,15,6.67
2022-07-23T16:00:00Z,2022-07-23,16,5.76
2022-07-23T17:00:00Z,2022-07-23,17,2.82
2022-07-23T18:00:00Z,2022-07-23,18,0.98
2022-07-23T19:00:00Z,2022-07-23,19,0.37
2022-07-23T20:00:00Z,2022-07-23,20,0.13
2022-07-24T05:00:00Z,2022-07-24,5,0.07
2022-07-24T06:00:00Z,2022-07-24,6,0.41
2022-07-24T07:00:00Z,2022-07-24,7,1.85
2022-07-24T08:00:00Z,2022-07-24,8,4.36
2022-07-24T09:00:00Z,2022-07-24,9,6.65
2022-07-24T10:00:00Z,2022-07-24,10,8.33
2022-07-24T11:00:00Z,2022-07-24,11,9.53
2022-07-24T12:00:00Z,2022-07-24,12,9.15
2022-07-24T13:00:00Z,2022-07-24,13,8.39
2022-07-24T14:00:00Z,2022-07-24,14,9.52
2022-07-24T15:00:00Z,2022-07-24,15,7.08
2022-07-24T16:00:00Z,2022-07-24,16,3.6
2022-07-24T17:00:00Z,2022-07-24,17,1.71
2022-07-24T18:00:00Z,2022-07-24,18,1.69
2022-07-24T19:00:00Z,2022-07-24,19,0.86
2022-07-24T20:00:00Z,2022-07-24,20,0.13
2022-07-25T05:00:00Z,2022-07-25,5,0.03
2022-07-25T06:00:00Z,2022-07-25,6,0.41
2022-07-25T07:00:00Z,2022-07-25,7,1.86
2022-07-25T08:00:00Z,2022-07-25,8,4.32
2022-07-25T09:00:00Z,2022-07-25,9,6.48
2022-07-25T10:00:00Z,2022-07-25,10,8.19
2022-07-25T11:00:00Z,2022-07-25,11,9.45
2022-07-25T12:00:00Z,2022-07-25,12,10.07
2022-07-25T13:00:00Z,2022-07-25,13,10.1
2022-07-25T14:00:00Z,2022-07-25,14,9.42
2022-07-25T15:00:00Z,2022-07-25,15,8.12
2022-07-25T16:00:00Z,2022-07-25,16,5.69
2022-07-25T17:00:00Z,2022-07-25,17,2.74
2022-07-25T18:00:00Z,2022-07-25,18,0.78
2022-07-25T19:00:00Z,2022-07-25,19,0.31
2022-07-25T20:00:00Z,2022-07-25,20,0.1
2022-07-26T05:00:00Z,2022-07-26,5,0.02
2022-07-26T06:00:00Z,2022-07-26,6,0.32
2022-07-26T07:00:00Z,2022-07-26,7,1.75
2022-07-26T08:00:00Z,2022-07-26,8,4.26
2022-07-26T09:00:00Z,2022-07-26,9,6.5
2022-07-26T10:00:00Z,2022-07-26,10,8.17
2022-07-26T11:00:00Z,2022-07-26,11,9.56
2022-07-26T12:00:00Z,2022-07-26,12,10.08
2022-07-26T13:00:00Z,2022-07-26,13,10
2022-07-26T14:00:00Z,2022-07-26,14,9.37
2022-07-26T15:00:00Z,2022-07-26,15,8.08
2022-07-26T16:00:00Z,2022-07-26,16,5.61
2022-07-26T17:00:00Z,2022-07-26,17,2.69
2022-07-26T18:00:00Z,2022-07-26,18,0.86
2022-07-26T19:00:00Z,2022-07-26,19,0.3
2022-07-26T20:00:00Z,2022-07-26,20,0.09
2022-07-27T05:00:00Z,2022-07-27,5,0.02
2022-07-27T06:00:00Z,2022-07-27,6,0.3
2022-07-27T07:00:00Z,2022-07-27,7,1.58
2022-07-27T08:00:00Z,2022-07-27,8,3.91
2022-07-27T09:00:00Z,2022-07-27,9,6.03
2022-07-27T10:00:00Z,2022-07-27,10,7.66
2022-07-27T11:00:00Z,2022-07-27,11,8.87
2022-07-27T12:00:00Z,2022-07-27,12,9.46
2022-07-27T13:00:00Z,2022-07-27,13,9.44
2022-07-27T14:00:00Z,2022-07-27,14,8.77
2022-07-27T15:00:00Z,2022-07-27,15,7.51
2022-07-27T16:00:00Z,2022-07-27,16,5.12
2022-07-27T17:00:00Z,2022-07-27,17,2.42
2022-07-27T18:00:00Z,2022-07-27,18,0.84
2022-07-27T19:00:00Z,2022-07-27,19,0.29
2022-07-27T20:00:00Z,2022-07-27,20,0.08
2022-07-28T05:00:00Z,2022-07-28,5,0.02
2022-07-28T06:00:00Z,2022-07-28,6,0.39
2022-07-28T07:00:00Z,2022-07-28,7,1.17
2022-07-28T08:00:00Z,2022-07-28,8,3.15
2022-07-28T09:00:00Z,2022-07-28,9,6.05
2022-07-28T10:00:00Z,2022-07-28,10,7.85
2022-07-28T11:00:00Z,2022-07-28,11,9.08
2022-07-28T12:00:00Z,2022-07-28,12,9.7
2022-07-28T13:00:00Z,2022-07-28,13,9.2
2022-07-28T14:00:00Z,2022-07-28,14,8.35
2022-07-28T15:00:00Z,2022-07-28,15,8.53
2022-07-28T16:00:00Z,2022-07-28,16,5.5
2022-07-28T17:00:00Z,2022-07-28,17,2.6
2022-07-28T18:00:00Z,2022-07-28,18,0.96
2022-07-28T19:00:00Z,2022-07-28,19,0.57
2022-07-28T20:00:00Z,2022-07-28,20,0.12
2022-07-29T05:00:00Z,2022-07-29,5,0.02
2022-07-29T06:00:00Z,2022-07-29,6,0.41
2022-07-29T07:00:00Z,2022-07-29,7,1.63
2022-07-29T08:00:00Z,2022-07-29,8,3.85
2022-07-29T09:00:00Z,2022-07-29,9,6.03
2022-07-29T10:00:00Z,2022-07-29,10,7.75
2022-07-29T11:00:00Z,2022-07-29,11,9.2
2022-07-29T12:00:00Z,2022-07-29,12,8.77
2022-07-29T13:00:00Z,2022-07-29,13,9.5
2022-07-29T14:00:00Z,2022-07-29,14,8.75
2022-07-29T15:00:00Z,2022-07-29,15,7.67
2022-07-29T16:00:00Z,2022-07-29,16,5.36
2022-07-29T17:00:00Z,2022-07-29,17,2.69
2022-07-29T18:00:00Z,2022-07-29,18,0.98
2022-07-29T19:00:00Z,2022-07-29,19,0.37
2022-07-29T20:00:00Z,2022-07-29,20,0.09
2022-07-30T05:00:00Z,2022-07-30,5,0.01
2022-07-30T06:00:00Z,2022-07-30,6,0.38
2022-07-30T07:00:00Z,2022-07-30,7,1.62
2022-07-30T08:00:00Z,2022-07-30,8,3.89
2022-07-30T09:00:00Z,2022-07-30,9,6.1
2022-07-30T10:00:00Z,2022-07-30,10,7.82
2022-07-30T11:00:00Z,2022-07-30,11,9.07
2022-07-30T12:00:00Z,2022-07-30,12,9.78
2022-07-30T13:00:00Z,2022-07-30,13,9.84
2022-07-30T14:00:00Z,2022-07-30,14,9.2
2022-07-30T15:00:00Z,2022-07-30,15,7.79
2022-07-30T16:00:00Z,2022-07-30,16,5.28
2022-07-30T17:00:00Z,2022-07-30,17,2.65
