Billing date,Basic charge,Energy used charge,kWh Block 1 charge,kWh Block 2 charge,Demand charge,Applicable discounts,Others,Taxes,EPP installment,EPP difference
" Oct 3, 2022",,,,,,,843.15,0,,
" Aug 4, 2022",,,,,,,,0,,
" Jul 14, 2022",54.84,,273.68,5.3,,,,16.69,,
" Mar 11, 2022",39.64,,197.84,27.56,,,,13.25,,
" Jan 10, 2022",37.6,,187.62,56.34,,,,14.08,,
" Nov 10, 2021",37.2,,175.52,,,,,10.64,,
" Sep 10, 2021",37.2,,121.81,,,,,7.95,,
" Jul 12, 2021",37.2,,185.62,16.52,,,,11.97,,
" May 10, 2021",37.2,,185.62,63.25,,,,14.3,,
" Mar 11, 2021",37.2,,165.55,,,,,10.14,,
" Jan 11, 2021",34.99,,174.89,37.43,,,,12.37,,
" Nov 10, 2020",34.56,,156.48,,,,,9.55,,
" Sep 10, 2020",34.56,,172.78,5.87,,,,10.66,,
" Jul 10, 2020",34.56,,137.36,,,,,8.6,,
" May 11, 2020",34.56,,168.25,,,,,10.14,,
" Mar 11, 2020",34.56,,172.78,75.47,,,,14.14,,
" Jan 13, 2020",33.39,,165.91,,,,,9.97,,
" Nov 12, 2019",33.16,,153.42,,,,2.14,9.33,,
" Sep 10, 2019",33.16,,103.21,,,,,6.82,,
" Jul 10, 2019",32.27,,134.04,,,,,8.32,,
" May 10, 2019",32.09,,146.09,,,,,8.91,,
" Mar 11, 2019",32.09,,161.87,76.84,,,,13.54,,
" Jan 10, 2019",32.09,,160.46,,,,,9.63,,
" Nov 13, 2018",32.09,,144.77,,,,,8.84,,
" Sep 11, 2018",32.09,,118.77,,,,,7.54,,
" Jul 10, 2018",32.09,,150.44,,,,,9.13,,
" May 10, 2018",32.09,,137.39,,,,,8.47,,
" Mar 13, 2018",32.09,,161.87,37.64,,,,11.58,,
" Jan 10, 2018",32.09,,161.87,7.5,,,,10.07,,